# Pick&Place Position Data File
#
# Project Name:        kbdkid4
# Project Version:     v1
# Board Name:          default
# Generation Software: LibrePCB 2.1.1
# Generation Date:     2026-07-23T13:14:35
# Unit:                mm
# Rotation:            Degrees CCW
# Board Side:          Bottom
# Assembly Types:      THT, SMT, THT+SMT, Fiducial, Other

Designator,Value,Device,Package,Position X,Position Y,Rotation,Side,Type
D203,Diode SOD123,Diode SOD123,SOD3717X135,123.349,13.487,180.0,Bottom,SMT
D210,Diode SOD123,Diode SOD123,SOD3717X135,104.299,73.019,180.0,Bottom,SMT
D211,Diode SOD123,Diode SOD123,SOD3717X135,104.299,53.969,180.0,Bottom,SMT
D212,Diode SOD123,Diode SOD123,SOD3717X135,104.299,34.919,180.0,Bottom,SMT
D213,Diode SOD123,Diode SOD123,SOD3717X135,104.299,15.869,180.0,Bottom,SMT
D220,Diode SOD123,Diode SOD123,SOD3717X135,85.249,75.4,180.0,Bottom,SMT
D221,Diode SOD123,Diode SOD123,SOD3717X135,85.249,56.35,180.0,Bottom,SMT
D222,Diode SOD123,Diode SOD123,SOD3717X135,85.249,37.3,180.0,Bottom,SMT
D223,Diode SOD123,Diode SOD123,SOD3717X135,85.249,18.25,180.0,Bottom,SMT
D230,Diode SOD123,Diode SOD123,SOD3717X135,66.199,77.781,180.0,Bottom,SMT
D231,Diode SOD123,Diode SOD123,SOD3717X135,66.199,58.731,180.0,Bottom,SMT
D232,Diode SOD123,Diode SOD123,SOD3717X135,66.199,39.681,180.0,Bottom,SMT
D233,Diode SOD123,Diode SOD123,SOD3717X135,66.199,20.631,180.0,Bottom,SMT
D240,Diode SOD123,Diode SOD123,SOD3717X135,47.149,75.4,180.0,Bottom,SMT
D241,Diode SOD123,Diode SOD123,SOD3717X135,47.149,56.35,180.0,Bottom,SMT
D242,Diode SOD123,Diode SOD123,SOD3717X135,47.149,37.3,180.0,Bottom,SMT
D243,Diode SOD123,Diode SOD123,SOD3717X135,47.149,18.25,180.0,Bottom,SMT
D250,Diode SOD123,Diode SOD123,SOD3717X135,28.099,70.637,180.0,Bottom,SMT
D251,Diode SOD123,Diode SOD123,SOD3717X135,28.099,51.587,180.0,Bottom,SMT
D252,Diode SOD123,Diode SOD123,SOD3717X135,28.099,32.537,180.0,Bottom,SMT
D253,Diode SOD123,Diode SOD123,SOD3717X135,28.099,13.487,180.0,Bottom,SMT
D260,Diode SOD123,Diode SOD123,SOD3717X135,9.049,70.637,180.0,Bottom,SMT
D261,Diode SOD123,Diode SOD123,SOD3717X135,9.049,51.587,180.0,Bottom,SMT
D262,Diode SOD123,Diode SOD123,SOD3717X135,9.049,32.537,180.0,Bottom,SMT
D263,Diode SOD123,Diode SOD123,SOD3717X135,9.049,13.487,180.0,Bottom,SMT
DS2,nice!view,nice!view,NICE_NICEVIEW,124.849,22.543,90.0,Bottom,THT
J2,,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,118.824,66.437,180.0,Bottom,THT
JP24,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,129.929,32.703,0.0,Bottom,Other
JP25,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,119.769,30.163,180.0,Bottom,Other
JP26,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,129.929,45.403,0.0,Bottom,Other
JP27,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,129.9287,25.0825,90.0,Bottom,Other
JP28,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,127.3887,25.0825,90.0,Bottom,Other
JP29,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,129.929,40.323,0.0,Bottom,Other
JP30,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,119.769,55.563,180.0,Bottom,Other
JP31,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,119.769,27.623,180.0,Bottom,Other
JP32,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,129.929,37.783,0.0,Bottom,Other
JP33,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,129.929,30.163,0.0,Bottom,Other
JP34,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,129.929,42.863,0.0,Bottom,Other
JP35,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,124.8487,25.0825,90.0,Bottom,Other
JP36,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,119.769,42.863,180.0,Bottom,Other
JP37,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,129.929,27.623,0.0,Bottom,Other
JP38,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,119.769,47.943,180.0,Bottom,Other
JP39,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,119.769,32.703,180.0,Bottom,Other
JP40,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,129.929,50.483,0.0,Bottom,Other
JP41,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,119.7687,25.0825,90.0,Bottom,Other
JP42,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,129.929,47.943,0.0,Bottom,Other
JP43,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,129.929,35.243,0.0,Bottom,Other
JP44,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,129.929,55.563,0.0,Bottom,Other
JP45,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,122.3087,25.0825,90.0,Bottom,Other
JP46,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,119.769,45.403,180.0,Bottom,Other
JP49,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,117.554,61.357,270.0,Bottom,Other
JP50,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,120.094,61.357,270.0,Bottom,Other
JP53,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,129.929,53.023,0.0,Bottom,Other
JP54,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,119.769,50.483,180.0,Bottom,Other
S2,SSSS811101,SSSS811101,ALPSALPINE_SSSS811101,128.826,67.151,251.0,Bottom,SMT
S203,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,123.349,9.207,90.0,Bottom,SMT
S210,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,104.299,68.739,90.0,Bottom,SMT
S211,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,104.299,49.689,90.0,Bottom,SMT
S212,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,104.299,30.639,90.0,Bottom,SMT
S213,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,104.299,11.589,90.0,Bottom,SMT
S220,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,85.249,71.12,90.0,Bottom,SMT
S221,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,85.249,52.07,90.0,Bottom,SMT
S222,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,85.249,33.02,90.0,Bottom,SMT
S223,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,85.249,13.97,90.0,Bottom,SMT
S230,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,66.199,73.501,90.0,Bottom,SMT
S231,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,66.199,54.451,90.0,Bottom,SMT
S232,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,66.199,35.401,90.0,Bottom,SMT
S233,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,66.199,16.351,90.0,Bottom,SMT
S240,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,47.149,71.12,90.0,Bottom,SMT
S241,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,47.149,52.07,90.0,Bottom,SMT
S242,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,47.149,33.02,90.0,Bottom,SMT
S243,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,47.149,13.97,90.0,Bottom,SMT
S250,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,28.099,66.357,90.0,Bottom,SMT
S251,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,28.099,47.307,90.0,Bottom,SMT
S252,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,28.099,28.257,90.0,Bottom,SMT
S253,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,28.099,9.207,90.0,Bottom,SMT
S260,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,9.049,66.357,90.0,Bottom,SMT
S261,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,9.049,47.307,90.0,Bottom,SMT
S262,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,9.049,28.257,90.0,Bottom,SMT
S263,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,9.049,9.207,90.0,Bottom,SMT
S4,B3U-1000P(M),B3U-1000P(M),OMRON_B3U-1000P(M),124.222,62.309,270.0,Bottom,SMT
U2,nice!nano v2.0,nice!nano v2.0,NICE_NICENANO,124.849,41.593,0.0,Bottom,THT
