# Pick&Place Position Data File
#
# Project Name:        kbdkid4
# Project Version:     v1
# Board Name:          Board 1.1
# Generation Software: LibrePCB 2.1.1
# Generation Date:     2026-09-06T22:54:10
# Unit:                mm
# Rotation:            Degrees CCW
# Board Side:          Bottom
# Assembly Types:      THT, SMT, THT+SMT, Fiducial, Other

Designator,Value,Device,Package,Position X,Position Y,Rotation,Side,Type
D203,Diode SOD123,Diode SOD123,SOD3717X135,123.349,13.487,180.0,Bottom,SMT
D210,Diode SOD123,Diode SOD123,SOD3717X135,104.299,73.019,180.0,Bottom,SMT
D211,Diode SOD123,Diode SOD123,SOD3717X135,104.299,53.969,180.0,Bottom,SMT
D212,Diode SOD123,Diode SOD123,SOD3717X135,104.299,34.919,180.0,Bottom,SMT
D213,Diode SOD123,Diode SOD123,SOD3717X135,104.299,15.869,180.0,Bottom,SMT
D220,Diode SOD123,Diode SOD123,SOD3717X135,85.249,75.4,180.0,Bottom,SMT
D221,Diode SOD123,Diode SOD123,SOD3717X135,85.249,56.35,180.0,Bottom,SMT
D222,Diode SOD123,Diode SOD123,SOD3717X135,85.249,37.3,180.0,Bottom,SMT
D223,Diode SOD123,Diode SOD123,SOD3717X135,85.249,18.25,180.0,Bottom,SMT
D230,Diode SOD123,Diode SOD123,SOD3717X135,66.199,77.781,180.0,Bottom,SMT
D231,Diode SOD123,Diode SOD123,SOD3717X135,66.199,58.731,180.0,Bottom,SMT
D232,Diode SOD123,Diode SOD123,SOD3717X135,66.199,39.681,180.0,Bottom,SMT
D233,Diode SOD123,Diode SOD123,SOD3717X135,66.199,20.631,180.0,Bottom,SMT
D240,Diode SOD123,Diode SOD123,SOD3717X135,47.149,75.4,180.0,Bottom,SMT
D241,Diode SOD123,Diode SOD123,SOD3717X135,47.149,56.35,180.0,Bottom,SMT
D242,Diode SOD123,Diode SOD123,SOD3717X135,47.149,37.3,180.0,Bottom,SMT
D243,Diode SOD123,Diode SOD123,SOD3717X135,47.149,18.25,180.0,Bottom,SMT
D250,Diode SOD123,Diode SOD123,SOD3717X135,28.099,70.637,180.0,Bottom,SMT
D251,Diode SOD123,Diode SOD123,SOD3717X135,28.099,51.587,180.0,Bottom,SMT
D252,Diode SOD123,Diode SOD123,SOD3717X135,28.099,32.537,180.0,Bottom,SMT
D253,Diode SOD123,Diode SOD123,SOD3717X135,28.099,13.487,180.0,Bottom,SMT
D260,Diode SOD123,Diode SOD123,SOD3717X135,9.049,70.637,180.0,Bottom,SMT
D261,Diode SOD123,Diode SOD123,SOD3717X135,9.049,51.587,180.0,Bottom,SMT
D262,Diode SOD123,Diode SOD123,SOD3717X135,9.049,32.537,180.0,Bottom,SMT
D263,Diode SOD123,Diode SOD123,SOD3717X135,9.049,13.487,180.0,Bottom,SMT
DS2,nice!view,nice!view,NICE_NICEVIEW,124.849,40.725,90.0,Bottom,THT
J1,,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,121.284,23.19,120.0,Bottom,THT
JP1,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,119.769,73.457,180.0,Bottom,Other
JP2,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,119.769,63.297,180.0,Bottom,Other
JP3,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,119.769,60.757,180.0,Bottom,Other
JP4,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,119.769,50.597,180.0,Bottom,Other
JP5,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,119.769,48.057,180.0,Bottom,Other
JP6,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,119.769,45.517,180.0,Bottom,Other
JP7,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,129.929,45.517,0.0,Bottom,Other
JP8,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,129.929,50.597,0.0,Bottom,Other
JP9,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,129.929,53.137,0.0,Bottom,Other
JP10,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,129.929,48.057,0.0,Bottom,Other
JP11,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,129.929,55.677,0.0,Bottom,Other
JP12,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,129.929,58.217,0.0,Bottom,Other
JP13,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,129.929,60.757,0.0,Bottom,Other
JP14,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,129.929,63.297,0.0,Bottom,Other
JP15,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,129.929,73.457,0.0,Bottom,Other
JP16,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,129.929,70.917,0.0,Bottom,Other
JP17,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,129.929,68.377,0.0,Bottom,Other
JP18,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,129.929,65.837,0.0,Bottom,Other
JP19,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,124.849,37.76,270.0,Bottom,Other
JP20,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,127.389,37.76,270.0,Bottom,Other
JP21,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,119.769,37.76,270.0,Bottom,Other
JP22,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,122.309,37.76,270.0,Bottom,Other
JP23,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,129.929,37.76,270.0,Bottom,Other
JP47,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,128.0,20.0,180.0,Bottom,Other
JP48,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,128.0,22.0,180.0,Bottom,Other
JP51,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,119.769,68.377,180.0,Bottom,Other
JP52,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,119.769,65.837,180.0,Bottom,Other
S1,SSSS811101,SSSS811101,ALPSALPINE_SSSS811101,104.299,76.378,180.0,Bottom,SMT
S4,Pushbutton Momentary NO (ESWITCH_TL3315NF100Q),Pushbutton Momentary NO (ESWITCH_TL3315NF100Q),ESWITCH_TL3315NF100Q,125.0,30.0,0.0,Bottom,SMT
S203,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,123.349,9.207,90.0,Bottom,SMT
S210,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,104.299,68.739,90.0,Bottom,SMT
S211,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,104.299,49.689,90.0,Bottom,SMT
S212,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,104.299,30.639,90.0,Bottom,SMT
S213,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,104.299,11.589,90.0,Bottom,SMT
S220,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,85.249,71.12,90.0,Bottom,SMT
S221,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,85.249,52.07,90.0,Bottom,SMT
S222,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,85.249,33.02,90.0,Bottom,SMT
S223,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,85.249,13.97,90.0,Bottom,SMT
S230,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,66.199,73.501,90.0,Bottom,SMT
S231,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,66.199,54.451,90.0,Bottom,SMT
S232,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,66.199,35.401,90.0,Bottom,SMT
S233,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,66.199,16.351,90.0,Bottom,SMT
S240,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,47.149,71.12,90.0,Bottom,SMT
S241,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,47.149,52.07,90.0,Bottom,SMT
S242,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,47.149,33.02,90.0,Bottom,SMT
S243,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,47.149,13.97,90.0,Bottom,SMT
S250,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,28.099,66.357,90.0,Bottom,SMT
S251,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,28.099,47.307,90.0,Bottom,SMT
S252,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,28.099,28.257,90.0,Bottom,SMT
S253,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,28.099,9.207,90.0,Bottom,SMT
S260,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,9.049,66.357,90.0,Bottom,SMT
S261,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,9.049,47.307,90.0,Bottom,SMT
S262,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,9.049,28.257,90.0,Bottom,SMT
S263,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,9.049,9.207,90.0,Bottom,SMT
U1,nice!nano v2.0,nice!nano v2.0,NICE_NICENANO,124.849,59.487,0.0,Bottom,THT
