# Pick&Place Position Data File
#
# Project Name:        kbdkid4
# Project Version:     v1
# Board Name:          Board 1.1
# Generation Software: LibrePCB 2.1.1
# Generation Date:     2026-09-06T22:54:10
# Unit:                mm
# Rotation:            Degrees CCW
# Board Side:          Top
# Assembly Types:      THT, SMT, THT+SMT, Fiducial, Other

Designator,Value,Device,Package,Position X,Position Y,Rotation,Side,Type
D100,Diode SOD123,Diode SOD123,SOD3717X135,9.049,70.637,180.0,Top,SMT
D101,Diode SOD123,Diode SOD123,SOD3717X135,9.049,51.587,180.0,Top,SMT
D102,Diode SOD123,Diode SOD123,SOD3717X135,9.049,32.537,180.0,Top,SMT
D103,Diode SOD123,Diode SOD123,SOD3717X135,9.049,13.487,180.0,Top,SMT
D110,Diode SOD123,Diode SOD123,SOD3717X135,28.099,70.637,180.0,Top,SMT
D111,Diode SOD123,Diode SOD123,SOD3717X135,28.099,51.587,180.0,Top,SMT
D112,Diode SOD123,Diode SOD123,SOD3717X135,28.099,32.537,180.0,Top,SMT
D113,Diode SOD123,Diode SOD123,SOD3717X135,28.099,13.487,180.0,Top,SMT
D120,Diode SOD123,Diode SOD123,SOD3717X135,47.149,75.4,180.0,Top,SMT
D121,Diode SOD123,Diode SOD123,SOD3717X135,47.149,56.35,180.0,Top,SMT
D122,Diode SOD123,Diode SOD123,SOD3717X135,47.149,37.3,180.0,Top,SMT
D123,Diode SOD123,Diode SOD123,SOD3717X135,47.149,18.25,180.0,Top,SMT
D130,Diode SOD123,Diode SOD123,SOD3717X135,66.199,77.781,180.0,Top,SMT
D131,Diode SOD123,Diode SOD123,SOD3717X135,66.199,58.731,180.0,Top,SMT
D132,Diode SOD123,Diode SOD123,SOD3717X135,66.199,39.681,180.0,Top,SMT
D133,Diode SOD123,Diode SOD123,SOD3717X135,66.199,20.631,180.0,Top,SMT
D140,Diode SOD123,Diode SOD123,SOD3717X135,85.249,75.4,180.0,Top,SMT
D141,Diode SOD123,Diode SOD123,SOD3717X135,85.249,56.35,180.0,Top,SMT
D142,Diode SOD123,Diode SOD123,SOD3717X135,85.249,37.3,180.0,Top,SMT
D143,Diode SOD123,Diode SOD123,SOD3717X135,85.249,18.25,180.0,Top,SMT
D150,Diode SOD123,Diode SOD123,SOD3717X135,104.299,73.019,180.0,Top,SMT
D151,Diode SOD123,Diode SOD123,SOD3717X135,104.299,53.969,180.0,Top,SMT
D152,Diode SOD123,Diode SOD123,SOD3717X135,104.299,34.919,180.0,Top,SMT
D153,Diode SOD123,Diode SOD123,SOD3717X135,104.299,15.869,180.0,Top,SMT
D163,Diode SOD123,Diode SOD123,SOD3717X135,123.349,13.487,180.0,Top,SMT
DS1,nice!view,nice!view,NICE_NICEVIEW,124.849,40.725,90.0,Top,THT
J2,,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,121.284,23.19,240.0,Top,THT
JP24,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,119.769,50.597,0.0,Top,Other
JP25,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,129.929,48.057,180.0,Top,Other
JP26,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,119.769,63.297,0.0,Top,Other
JP27,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,129.929,37.76,270.0,Top,Other
JP28,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,127.389,37.76,270.0,Top,Other
JP29,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,119.769,58.217,0.0,Top,Other
JP30,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,129.929,73.457,180.0,Top,Other
JP31,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,129.929,45.517,180.0,Top,Other
JP32,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,119.769,55.677,0.0,Top,Other
JP33,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,119.769,48.057,0.0,Top,Other
JP34,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,119.769,60.757,0.0,Top,Other
JP35,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,124.849,37.76,270.0,Top,Other
JP36,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,129.929,60.757,180.0,Top,Other
JP37,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,119.769,45.517,0.0,Top,Other
JP38,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,129.929,65.837,180.0,Top,Other
JP39,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,129.929,50.597,180.0,Top,Other
JP40,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,119.769,68.377,0.0,Top,Other
JP41,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,119.769,37.76,270.0,Top,Other
JP42,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,119.769,65.837,0.0,Top,Other
JP43,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,119.769,53.137,0.0,Top,Other
JP44,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,119.769,73.457,0.0,Top,Other
JP45,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,122.309,37.76,270.0,Top,Other
JP46,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,129.929,63.297,180.0,Top,Other
JP49,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,128.0,22.0,0.0,Top,Other
JP50,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,128.0,20.0,0.0,Top,Other
JP53,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,119.769,70.917,0.0,Top,Other
JP54,Solder Jumper 2P,Solder Jumper 2P,SOLDER_JUMPER_2P,129.929,68.377,180.0,Top,Other
S2,SSSS811101,SSSS811101,ALPSALPINE_SSSS811101,104.299,76.378,180.0,Top,SMT
S3,Pushbutton Momentary NO (ESWITCH_TL3315NF100Q),Pushbutton Momentary NO (ESWITCH_TL3315NF100Q),ESWITCH_TL3315NF100Q,125.0,30.0,0.0,Top,SMT
S100,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,9.049,66.357,90.0,Top,SMT
S101,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,9.049,47.307,90.0,Top,SMT
S102,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,9.049,28.257,90.0,Top,SMT
S103,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,9.049,9.207,90.0,Top,SMT
S110,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,28.099,66.357,90.0,Top,SMT
S111,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,28.099,47.307,90.0,Top,SMT
S112,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,28.099,28.257,90.0,Top,SMT
S113,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,28.099,9.207,90.0,Top,SMT
S120,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,47.149,71.12,90.0,Top,SMT
S121,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,47.149,52.07,90.0,Top,SMT
S122,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,47.149,33.02,90.0,Top,SMT
S123,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,47.149,13.97,90.0,Top,SMT
S130,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,66.199,73.501,90.0,Top,SMT
